departureAirport,origCountry,arrivalAirport,destCountry,aircraftName,Frequency,departure_latitude,departure_longitude,arrival_latitude,arrival_longitude
DXB,United Arab Emirates,LHR,United Kingdom,Airbus A380-800,2526,25.2528,55.3644,51.4775,-0.461389
SIN,Singapore,BKK,Thailand,Airbus A330-300,1561,1.35019,103.994,13.6811,100.747
NRT,Japan,PVG,China,Boeing B767-300ER,1543,35.7653,140.386,31.1434,121.805
PVG,China,NRT,Japan,Boeing B767-300ER,1542,31.1434,121.805,35.7653,140.386
ICN,South Korea,SIN,Singapore,Airbus A330-300,1511,37.4633,126.44,1.35019,103.994
SIN,Singapore,ICN,South Korea,Airbus A330-300,1509,1.35019,103.994,37.4633,126.44
BKK,Thailand,SIN,Singapore,Airbus A330-300,1454,13.6811,100.747,1.35019,103.994
TSA,Taiwan,HND,Japan,Airbus A330-300,1451,25.0694,121.552,35.5533,139.781
HND,Japan,TSA,Taiwan,Airbus A330-300,1451,35.5533,139.781,25.0694,121.552
TPE,Taiwan,PVG,China,Boeing B747-400,1376,25.0777,121.233,31.1434,121.805
PVG,China,TPE,Taiwan,Boeing B747-400,1371,31.1434,121.805,25.0777,121.233
GMP,South Korea,HND,Japan,Boeing B767-300ER,1332,,,35.5533,139.781
HND,Japan,GMP,South Korea,Boeing B767-300ER,1331,35.5533,139.781,,
PVG,China,ICN,South Korea,Airbus A330-300,1321,31.1434,121.805,37.4633,126.44
ICN,South Korea,PVG,China,Airbus A330-300,1317,37.4633,126.44,31.1434,121.805
SIN,Singapore,TPE,Taiwan,Airbus A330-300,1304,1.35019,103.994,25.0777,121.233
TPE,Taiwan,SIN,Singapore,Airbus A330-300,1294,25.0777,121.233,1.35019,103.994
TSA,Taiwan,SHA,China,Airbus A330-300,1268,25.0694,121.552,31.1979,121.336
SHA,China,TSA,Taiwan,Airbus A330-300,1268,31.1979,121.336,25.0694,121.552
BKK,Thailand,DOH,Qatar,Boeing B777-300ER,1224,13.6811,100.747,25.2731,51.6081
DOH,Qatar,BKK,Thailand,Boeing B777-300ER,1223,25.2731,51.6081,13.6811,100.747
DXB,United Arab Emirates,DOH,Qatar,Boeing B777-300ER,1200,25.2528,55.3644,25.2731,51.6081
ICN,South Korea,TPE,Taiwan,Airbus A330-300,1199,37.4633,126.44,25.0777,121.233
DOH,Qatar,DXB,United Arab Emirates,Boeing B777-300ER,1197,25.2731,51.6081,25.2528,55.3644
TPE,Taiwan,ICN,South Korea,Airbus A330-300,1195,25.0777,121.233,37.4633,126.44
SIN,Singapore,BKK,Thailand,Boeing B747-400F,1192,1.35019,103.994,13.6811,100.747
ICN,South Korea,PVG,China,Boeing B747-400F,1105,37.4633,126.44,31.1434,121.805
HND,Japan,GMP,South Korea,Airbus A330-300,1096,35.5533,139.781,,
GMP,South Korea,HND,Japan,Airbus A330-300,1094,,,35.5533,139.781
KIX,Japan,PVG,China,Boeing B767-300ER,1089,34.4305,135.23,31.1434,121.805
AUH,United Arab Emirates,BKK,Thailand,Boeing B777-300ER,1089,24.433,54.6511,13.6811,100.747
PVG,China,KIX,Japan,Boeing B767-300ER,1089,31.1434,121.805,34.4305,135.23
BKK,Thailand,AUH,United Arab Emirates,Boeing B777-300ER,1088,13.6811,100.747,24.433,54.6511
BKK,Thailand,TPE,Taiwan,Airbus A330-Unspecified,994,13.6811,100.747,25.0777,121.233
TPE,Taiwan,BKK,Thailand,Airbus A330-Unspecified,989,25.0777,121.233,13.6811,100.747
PEK,China,NRT,Japan,Boeing B767-300ER,968,40.0725,116.598,35.7653,140.386
NRT,Japan,PEK,China,Boeing B767-300ER,968,35.7653,140.386,40.0725,116.598
DXB,United Arab Emirates,BKK,Thailand,Airbus A380-800,954,25.2528,55.3644,13.6811,100.747
BKK,Thailand,DXB,United Arab Emirates,Airbus A380-800,951,13.6811,100.747,25.2528,55.3644
SIN,Singapore,BKK,Thailand,Boeing B777-200ER,950,1.35019,103.994,13.6811,100.747
BKK,Thailand,SIN,Singapore,Boeing B777-200ER,948,13.6811,100.747,1.35019,103.994
DXB,United Arab Emirates,CDG,France,Airbus A380-800,909,25.2528,55.3644,49.0097,2.54778
JED,Saudi Arabia,DXB,United Arab Emirates,Airbus A380-800,906,21.6796,39.1565,25.2528,55.3644
DXB,United Arab Emirates,JED,Saudi Arabia,Airbus A380-800,905,25.2528,55.3644,21.6796,39.1565
BKK,Thailand,ICN,South Korea,Boeing B777-200ER,903,13.6811,100.747,37.4633,126.44
TSA,Taiwan,HND,Japan,Boeing B767-300ER,902,25.0694,121.552,35.5533,139.781
HND,Japan,TSA,Taiwan,Boeing B767-300ER,902,35.5533,139.781,25.0694,121.552
SIN,Singapore,DXB,United Arab Emirates,Boeing B777-300ER,901,1.35019,103.994,25.2528,55.3644
DXB,United Arab Emirates,SIN,Singapore,Boeing B777-300ER,899,25.2528,55.3644,1.35019,103.994
NRT,Japan,TPE,Taiwan,Airbus A330-300,893,35.7653,140.386,25.0777,121.233
TPE,Taiwan,NRT,Japan,Airbus A330-300,893,25.0777,121.233,35.7653,140.386
ICN,South Korea,BKK,Thailand,Boeing B777-200ER,888,37.4633,126.44,13.6811,100.747
BKK,Thailand,DXB,United Arab Emirates,Boeing B777-300ER,886,13.6811,100.747,25.2528,55.3644
DXB,United Arab Emirates,FRA,Germany,Boeing B777-300ER,886,25.2528,55.3644,50.0333,8.57056
DXB,United Arab Emirates,BKK,Thailand,Boeing B777-300ER,884,25.2528,55.3644,13.6811,100.747
SHA,China,GMP,South Korea,Airbus A330-300,850,31.1979,121.336,,
GMP,South Korea,SHA,China,Airbus A330-300,850,,,31.1979,121.336
TPE,Taiwan,KIX,Japan,Airbus A330-300,847,25.0777,121.233,34.4305,135.23
PVG,China,ICN,South Korea,Boeing B747-400F,846,31.1434,121.805,37.4633,126.44
DOH,Qatar,CDG,France,Airbus A340-600,832,25.2731,51.6081,49.0097,2.54778
KIX,Japan,TPE,Taiwan,Airbus A330-300,825,34.4305,135.23,25.0777,121.233
SIN,Singapore,PEK,China,Airbus A330-300,819,1.35019,103.994,40.0725,116.598
PEK,China,SIN,Singapore,Airbus A330-300,819,40.0725,116.598,1.35019,103.994
DOH,Qatar,DXB,United Arab Emirates,Airbus A330-200,799,25.2731,51.6081,25.2528,55.3644
DXB,United Arab Emirates,LGW,United Kingdom,Boeing B777-300ER,796,25.2528,55.3644,51.1481,-0.190278
DXB,United Arab Emirates,DOH,Qatar,Airbus A330-200,796,25.2528,55.3644,25.2731,51.6081
PEK,China,ICN,South Korea,Airbus A330-300,794,40.0725,116.598,37.4633,126.44
ICN,South Korea,PEK,China,Airbus A330-300,793,37.4633,126.44,40.0725,116.598
FUK,Japan,TPE,Taiwan,Airbus A330-300,792,33.5859,130.451,25.0777,121.233
TPE,Taiwan,FUK,Japan,Airbus A330-300,792,25.0777,121.233,33.5859,130.451
PVG,China,CDG,France,Airbus A330-200,785,31.1434,121.805,49.0097,2.54778
BOM,India,LHR,United Kingdom,Boeing B777-300ER,784,19.0887,72.8679,51.4775,-0.461389
SIN,Singapore,LHR,United Kingdom,Airbus A380-800,783,1.35019,103.994,51.4775,-0.461389
PVG,China,SIN,Singapore,Airbus A330-200,766,31.1434,121.805,1.35019,103.994
SIN,Singapore,PVG,China,Airbus A330-200,765,1.35019,103.994,31.1434,121.805
DAC,Bangladesh,DXB,United Arab Emirates,Boeing B777-300ER,757,23.8433,90.3978,25.2528,55.3644
DXB,United Arab Emirates,DAC,Bangladesh,Boeing B777-300ER,756,25.2528,55.3644,23.8433,90.3978
NRT,Japan,TPE,Taiwan,Boeing B747-400,729,35.7653,140.386,25.0777,121.233
TPE,Taiwan,NRT,Japan,Boeing B747-400,727,25.0777,121.233,35.7653,140.386
NRT,Japan,DLC,China,Boeing B767-300ER,726,35.7653,140.386,38.9657,121.539
DLC,China,NRT,Japan,Boeing B767-300ER,726,38.9657,121.539,35.7653,140.386
CAN,China,NRT,Japan,Boeing B767-300ER,726,23.3924,113.299,35.7653,140.386
DXB,United Arab Emirates,BHX,United Kingdom,Boeing B777-300ER,726,25.2528,55.3644,52.4539,-1.74803
DEL,India,LHR,United Kingdom,Boeing B777-300ER,726,28.5665,77.1031,51.4775,-0.461389
NRT,Japan,CAN,China,Boeing B767-300ER,726,35.7653,140.386,23.3924,113.299
SGN,Vietnam,NRT,Japan,Boeing B767-300ER,726,10.8188,106.652,35.7653,140.386
